CH4,CO2,CO,Health Effect
2.2,453,34,Possible health effects with long-term exposure.
2.1,443,23,Possible health effects with long-term exposure.
2.1,468,21,Possible health effects with long-term exposure.
2,2063,23,Possible health effects with long-term exposure.
2,1406,13,Possible health effects with long-term exposure.
2,1714,24,Possible health effects with long-term exposure.
2,1165,30,Possible health effects with long-term exposure.
2,669,20,Possible health effects with long-term exposure.
2,2291,18,Possible health effects with long-term exposure.
2,1854,14,Possible health effects with long-term exposure.
2,639,11,Possible health effects with long-term exposure.
2,875,32,Possible health effects with long-term exposure.
2,886,27,Possible health effects with long-term exposure.
2,2216,26,Possible health effects with long-term exposure.
2,703,16,Possible health effects with long-term exposure.
2,2317,32,Possible health effects with long-term exposure.
2,1272,25,Possible health effects with long-term exposure.
2,2206,34,Possible health effects with long-term exposure.
1.9,2318,32,Possible health effects with long-term exposure.
1.9,1141,22,Possible health effects with long-term exposure.
1.9,1362,17,Possible health effects with long-term exposure.
1.9,2461,28,Possible health effects with long-term exposure.
1.9,2083,17,Possible health effects with long-term exposure.
1.9,1667,19,Possible health effects with long-term exposure.
1.9,736,10,Possible health effects with long-term exposure.
1.9,411,32,Possible health effects with long-term exposure.
1.9,2417,34,Possible health effects with long-term exposure.
1.9,439,25,Possible health effects with long-term exposure.
2,923,30,Possible health effects with long-term exposure.
1.9,523,10,Possible health effects with long-term exposure.
1.9,861,23,Possible health effects with long-term exposure.
2,1282,23,Possible health effects with long-term exposure.
2,1643,16,Possible health effects with long-term exposure.
2,2482,27,Possible health effects with long-term exposure.
2,1757,18,Possible health effects with long-term exposure.
2,806,23,Possible health effects with long-term exposure.
2,2348,20,Possible health effects with long-term exposure.
2,2045,31,Possible health effects with long-term exposure.
2,1461,13,Possible health effects with long-term exposure.
2,1812,30,Possible health effects with long-term exposure.
2,2159,27,Possible health effects with long-term exposure.
2,1563,19,Possible health effects with long-term exposure.
1.9,1981,21,Possible health effects with long-term exposure.
1.9,1940,14,Possible health effects with long-term exposure.
1.9,1256,24,Possible health effects with long-term exposure.
1.9,1847,26,Possible health effects with long-term exposure.
2,1918,14,Possible health effects with long-term exposure.
1.9,801,30,Possible health effects with long-term exposure.
1.9,1036,34,Possible health effects with long-term exposure.
1.9,1066,29,Possible health effects with long-term exposure.
1.9,1012,30,Possible health effects with long-term exposure.
2,2378,14,Possible health effects with long-term exposure.
2,1933,27,Possible health effects with long-term exposure.
2,2183,22,Possible health effects with long-term exposure.
2,1393,30,Possible health effects with long-term exposure.
2,1563,19,Possible health effects with long-term exposure.
2,1833,15,Possible health effects with long-term exposure.
2,409,15,Possible health effects with long-term exposure.
1.9,412,16,Possible health effects with long-term exposure.
1.9,1176,17,Possible health effects with long-term exposure.
2,633,13,Possible health effects with long-term exposure.
2,1636,17,Possible health effects with long-term exposure.
2,420,24,Possible health effects with long-term exposure.
2,1198,20,Possible health effects with long-term exposure.
2,1619,26,Possible health effects with long-term exposure.
2,707,24,Possible health effects with long-term exposure.
2,2397,12,Possible health effects with long-term exposure.
1.9,1554,29,Possible health effects with long-term exposure.
2,521,13,Possible health effects with long-term exposure.
2,1797,18,Possible health effects with long-term exposure.
2.1,1518,20,Possible health effects with long-term exposure.
2,605,13,Possible health effects with long-term exposure.
2,2202,27,Possible health effects with long-term exposure.
2,2381,12,Possible health effects with long-term exposure.
2,2394,26,Possible health effects with long-term exposure.
2,1107,10,Possible health effects with long-term exposure.
2,903,34,Possible health effects with long-term exposure.
2,2287,12,Possible health effects with long-term exposure.
2,1030,21,Possible health effects with long-term exposure.
2,419,33,Possible health effects with long-term exposure.
2,1563,17,Possible health effects with long-term exposure.
2,1155,23,Possible health effects with long-term exposure.
2,2361,15,Possible health effects with long-term exposure.
2,818,28,Possible health effects with long-term exposure.
2,530,19,Possible health effects with long-term exposure.
2,2386,32,Possible health effects with long-term exposure.
2,2364,14,Possible health effects with long-term exposure.
2,1611,32,Possible health effects with long-term exposure.
2,1974,27,Possible health effects with long-term exposure.
2,1582,13,Possible health effects with long-term exposure.
2,976,22,Possible health effects with long-term exposure.
2,894,16,Possible health effects with long-term exposure.
2.1,2046,29,Possible health effects with long-term exposure.
2.3,1899,21,Possible health effects with long-term exposure.
2.3,2442,19,Possible health effects with long-term exposure.
2.3,1365,17,Possible health effects with long-term exposure.
2.2,1032,21,Possible health effects with long-term exposure.
2.1,2419,29,Possible health effects with long-term exposure.
2.1,1124,11,Possible health effects with long-term exposure.
2,1112,18,Possible health effects with long-term exposure.
1.9,2376,31,Possible health effects with long-term exposure.
1.9,791,31,Possible health effects with long-term exposure.
1.9,753,17,Possible health effects with long-term exposure.
2,1761,15,Possible health effects with long-term exposure.
1.9,1034,33,Possible health effects with long-term exposure.
1.9,2473,27,Possible health effects with long-term exposure.
1.9,1477,34,Possible health effects with long-term exposure.
2,1150,29,Possible health effects with long-term exposure.
2.1,913,31,Possible health effects with long-term exposure.
2.2,677,20,Possible health effects with long-term exposure.
2.2,503,12,Possible health effects with long-term exposure.
2.2,643,22,Possible health effects with long-term exposure.
2.1,1585,19,Possible health effects with long-term exposure.
2.5,2118,11,Possible health effects with long-term exposure.
3.3,1401,34,Possible health effects with long-term exposure.
2.6,937,11,Possible health effects with long-term exposure.
2.5,2396,12,Possible health effects with long-term exposure.
2.3,2124,13,Possible health effects with long-term exposure.
2.3,564,33,Possible health effects with long-term exposure.
2.3,1007,18,Possible health effects with long-term exposure.
2.4,1910,18,Possible health effects with long-term exposure.
2.2,2496,11,Possible health effects with long-term exposure.
2.2,1947,27,Possible health effects with long-term exposure.
2.2,2395,29,Possible health effects with long-term exposure.
2.1,2173,10,Possible health effects with long-term exposure.
2,1897,24,Possible health effects with long-term exposure.
1.9,1795,19,Possible health effects with long-term exposure.
1.9,2156,23,Possible health effects with long-term exposure.
1.9,1609,31,Possible health effects with long-term exposure.
2,1800,26,Possible health effects with long-term exposure.
2,750,25,Possible health effects with long-term exposure.
2,1268,18,Possible health effects with long-term exposure.
2,1994,15,Possible health effects with long-term exposure.
2.1,1651,15,Possible health effects with long-term exposure.
2.4,2006,31,Possible health effects with long-term exposure.
2.9,957,17,Possible health effects with long-term exposure.
3,1502,25,Possible health effects with long-term exposure.
2.8,1029,16,Possible health effects with long-term exposure.
2.4,2480,22,Possible health effects with long-term exposure.
2.7,1195,14,Possible health effects with long-term exposure.
2.8,1243,10,Possible health effects with long-term exposure.
2.8,1964,31,Possible health effects with long-term exposure.
2.6,894,34,Possible health effects with long-term exposure.
2.5,811,14,Possible health effects with long-term exposure.
2.2,1288,12,Possible health effects with long-term exposure.
2.1,2257,33,Possible health effects with long-term exposure.
2,2202,27,Possible health effects with long-term exposure.
2,708,14,Possible health effects with long-term exposure.
2,2415,12,Possible health effects with long-term exposure.
2,1179,14,Possible health effects with long-term exposure.
2,1187,13,Possible health effects with long-term exposure.
2,2010,29,Possible health effects with long-term exposure.
2,562,17,Possible health effects with long-term exposure.
2,1655,29,Possible health effects with long-term exposure.
2,1713,25,Possible health effects with long-term exposure.
2,1240,22,Possible health effects with long-term exposure.
2.3,799,20,Possible health effects with long-term exposure.
2.3,2079,34,Possible health effects with long-term exposure.
2.3,2253,12,Possible health effects with long-term exposure.
2.2,1724,23,Possible health effects with long-term exposure.
2.2,1880,26,Possible health effects with long-term exposure.
2.3,1938,34,Possible health effects with long-term exposure.
2.3,975,31,Possible health effects with long-term exposure.
2.4,1123,14,Possible health effects with long-term exposure.
2.5,527,26,Possible health effects with long-term exposure.
3.1,1331,28,Possible health effects with long-term exposure.
3,412,31,Possible health effects with long-term exposure.
2.3,2162,27,Possible health effects with long-term exposure.
2.3,1201,27,Possible health effects with long-term exposure.
2.2,2373,12,Possible health effects with long-term exposure.
2.1,1845,17,Possible health effects with long-term exposure.
2.1,2079,32,Possible health effects with long-term exposure.
2.2,1112,26,Possible health effects with long-term exposure.
2,751,23,Possible health effects with long-term exposure.
2,2131,31,Possible health effects with long-term exposure.
2,1657,17,Possible health effects with long-term exposure.
2.1,2434,15,Possible health effects with long-term exposure.
2.1,1780,25,Possible health effects with long-term exposure.
2.1,825,18,Possible health effects with long-term exposure.
2.1,2250,24,Possible health effects with long-term exposure.
2.1,2189,28,Possible health effects with long-term exposure.
2.2,688,29,Possible health effects with long-term exposure.
2.2,1556,13,Possible health effects with long-term exposure.
2.2,2490,11,Possible health effects with long-term exposure.
2.3,2241,14,Possible health effects with long-term exposure.
2.4,524,24,Possible health effects with long-term exposure.
2.4,1669,30,Possible health effects with long-term exposure.
2.9,2004,19,Possible health effects with long-term exposure.
2.8,966,34,Possible health effects with long-term exposure.
2.6,1683,19,Possible health effects with long-term exposure.
2.3,1847,15,Possible health effects with long-term exposure.
2.2,1673,18,Possible health effects with long-term exposure.
2.3,2448,32,Possible health effects with long-term exposure.
2.5,426,25,Possible health effects with long-term exposure.
2.6,2141,13,Possible health effects with long-term exposure.
2.5,437,15,Possible health effects with long-term exposure.
2.2,648,25,Possible health effects with long-term exposure.
2.1,679,33,Possible health effects with long-term exposure.
2,1319,11,Possible health effects with long-term exposure.
2,949,24,Possible health effects with long-term exposure.
2.1,813,10,Possible health effects with long-term exposure.
2,1640,10,Possible health effects with long-term exposure.
2,1700,13,Possible health effects with long-term exposure.
2,566,29,Possible health effects with long-term exposure.
2.2,1129,10,Possible health effects with long-term exposure.
2.2,884,14,Possible health effects with long-term exposure.
2,2230,12,Possible health effects with long-term exposure.
2.1,555,11,Possible health effects with long-term exposure.
2.2,1691,11,Possible health effects with long-term exposure.
2.3,1937,16,Possible health effects with long-term exposure.
2.6,770,10,Possible health effects with long-term exposure.
2.4,836,33,Possible health effects with long-term exposure.
2.4,1795,31,Possible health effects with long-term exposure.
2.4,1301,28,Possible health effects with long-term exposure.
2.3,2063,14,Possible health effects with long-term exposure.
2.3,2454,15,Possible health effects with long-term exposure.
2.2,683,18,Possible health effects with long-term exposure.
2,1386,16,Possible health effects with long-term exposure.
2,820,14,Possible health effects with long-term exposure.
2,870,25,Possible health effects with long-term exposure.
2,716,19,Possible health effects with long-term exposure.
2,1436,31,Possible health effects with long-term exposure.
1.9,626,22,Possible health effects with long-term exposure.
1.9,1866,31,Possible health effects with long-term exposure.
1.9,1720,25,Possible health effects with long-term exposure.
1.9,2180,10,Possible health effects with long-term exposure.
1.9,2285,31,Possible health effects with long-term exposure.
1.9,2065,11,Possible health effects with long-term exposure.
1.9,862,11,Possible health effects with long-term exposure.
1.9,2442,34,Possible health effects with long-term exposure.
1.9,1099,22,Possible health effects with long-term exposure.
2,1796,22,Possible health effects with long-term exposure.
2,1925,15,Possible health effects with long-term exposure.
2,838,11,Possible health effects with long-term exposure.
2.1,811,32,Possible health effects with long-term exposure.
2,1596,15,Possible health effects with long-term exposure.
2,1468,27,Possible health effects with long-term exposure.
2.1,1970,29,Possible health effects with long-term exposure.
2.1,622,33,Possible health effects with long-term exposure.
2.1,1601,17,Possible health effects with long-term exposure.
2,2031,13,Possible health effects with long-term exposure.
2,2167,32,Possible health effects with long-term exposure.
2,482,12,Possible health effects with long-term exposure.
2.1,2428,26,Possible health effects with long-term exposure.
2,629,25,Possible health effects with long-term exposure.
1.9,1281,32,Possible health effects with long-term exposure.
1.9,1730,24,Possible health effects with long-term exposure.
1.9,1979,18,Possible health effects with long-term exposure.
1.9,2052,30,Possible health effects with long-term exposure.
1.9,545,11,Possible health effects with long-term exposure.
1.9,1021,23,Possible health effects with long-term exposure.
1.9,437,17,Possible health effects with long-term exposure.
1.9,1513,21,Possible health effects with long-term exposure.
1.9,502,16,Possible health effects with long-term exposure.
1.9,2227,25,Possible health effects with long-term exposure.
1.9,1317,17,Possible health effects with long-term exposure.
1.9,558,20,Possible health effects with long-term exposure.
1.9,1373,26,Possible health effects with long-term exposure.
2,1778,26,Possible health effects with long-term exposure.
2,1298,27,Possible health effects with long-term exposure.
2,2488,28,Possible health effects with long-term exposure.
2,2193,27,Possible health effects with long-term exposure.
2,1844,34,Possible health effects with long-term exposure.
2,1959,13,Possible health effects with long-term exposure.
2,1710,10,Possible health effects with long-term exposure.
2,427,19,Possible health effects with long-term exposure.
2,1514,30,Possible health effects with long-term exposure.
2,1754,31,Possible health effects with long-term exposure.
2,1822,10,Possible health effects with long-term exposure.
1.9,1672,12,Possible health effects with long-term exposure.
1.9,2014,29,Possible health effects with long-term exposure.
1.9,2293,33,Possible health effects with long-term exposure.
2,1308,20,Possible health effects with long-term exposure.
2,542,20,Possible health effects with long-term exposure.
2,1416,29,Possible health effects with long-term exposure.
2,1512,23,Possible health effects with long-term exposure.
2.1,489,32,Possible health effects with long-term exposure.
2.1,905,26,Possible health effects with long-term exposure.
2.1,2407,16,Possible health effects with long-term exposure.
2.2,662,32,Possible health effects with long-term exposure.
2,2067,29,Possible health effects with long-term exposure.
2,618,22,Possible health effects with long-term exposure.
2,2225,29,Possible health effects with long-term exposure.
2.1,650,16,Possible health effects with long-term exposure.
2,2009,31,Possible health effects with long-term exposure.
2,733,28,Possible health effects with long-term exposure.
2,2212,10,Possible health effects with long-term exposure.
2,598,25,Possible health effects with long-term exposure.
2,2383,15,Possible health effects with long-term exposure.
2,1180,34,Possible health effects with long-term exposure.
1.9,497,28,Possible health effects with long-term exposure.
2,1282,29,Possible health effects with long-term exposure.
1.9,2244,21,Possible health effects with long-term exposure.
1.9,2030,13,Possible health effects with long-term exposure.
1.9,1838,12,Possible health effects with long-term exposure.
1.9,1043,15,Possible health effects with long-term exposure.
1.9,1905,25,Possible health effects with long-term exposure.
2,447,25,Possible health effects with long-term exposure.
2,2371,23,Possible health effects with long-term exposure.
2,778,16,Possible health effects with long-term exposure.
2,1584,34,Possible health effects with long-term exposure.
2,1993,27,Possible health effects with long-term exposure.
2,1571,20,Possible health effects with long-term exposure.
1.9,2398,33,Possible health effects with long-term exposure.
2,2463,33,Possible health effects with long-term exposure.
2,2428,14,Possible health effects with long-term exposure.
2,1400,31,Possible health effects with long-term exposure.
1.9,1423,14,Possible health effects with long-term exposure.
1.9,1566,19,Possible health effects with long-term exposure.
1.9,1039,28,Possible health effects with long-term exposure.
1.9,1365,11,Possible health effects with long-term exposure.
1.9,911,13,Possible health effects with long-term exposure.
2,2498,24,Possible health effects with long-term exposure.
2,1425,10,Possible health effects with long-term exposure.
2,1300,15,Possible health effects with long-term exposure.
2,2055,14,Possible health effects with long-term exposure.
1.9,1784,13,Possible health effects with long-term exposure.
2,1698,16,Possible health effects with long-term exposure.
1.9,645,18,Possible health effects with long-term exposure.
1.9,619,26,Possible health effects with long-term exposure.
1.9,1076,27,Possible health effects with long-term exposure.
1.9,1524,10,Possible health effects with long-term exposure.
2,1791,32,Possible health effects with long-term exposure.
2,2308,29,Possible health effects with long-term exposure.
2,2383,24,Possible health effects with long-term exposure.
2,681,14,Possible health effects with long-term exposure.
2,1758,16,Possible health effects with long-term exposure.
2,1581,28,Possible health effects with long-term exposure.
2,1281,18,Possible health effects with long-term exposure.
2,2058,29,Possible health effects with long-term exposure.
1.9,2001,24,Possible health effects with long-term exposure.
1.9,2241,28,Possible health effects with long-term exposure.
1.9,1625,22,Possible health effects with long-term exposure.
1.9,2492,32,Possible health effects with long-term exposure.
1.9,558,26,Possible health effects with long-term exposure.
1.9,2404,10,Possible health effects with long-term exposure.
2,833,27,Possible health effects with long-term exposure.
2,1081,16,Possible health effects with long-term exposure.
2,1229,32,Possible health effects with long-term exposure.
2,1132,20,Possible health effects with long-term exposure.
2,1216,25,Possible health effects with long-term exposure.
2,2298,32,Possible health effects with long-term exposure.
2,1585,23,Possible health effects with long-term exposure.
1.9,2266,18,Possible health effects with long-term exposure.
2,877,29,Possible health effects with long-term exposure.
2,2084,11,Possible health effects with long-term exposure.
2,1105,28,Possible health effects with long-term exposure.
2,446,21,Possible health effects with long-term exposure.
1.9,1163,19,Possible health effects with long-term exposure.
2,1144,28,Possible health effects with long-term exposure.
2,1363,25,Possible health effects with long-term exposure.
1.9,1612,20,Possible health effects with long-term exposure.
1.9,2414,33,Possible health effects with long-term exposure.
1.9,1856,17,Possible health effects with long-term exposure.
1.9,2249,15,Possible health effects with long-term exposure.
1.9,517,23,Possible health effects with long-term exposure.
1.9,1982,13,Possible health effects with long-term exposure.
1.9,1247,18,Possible health effects with long-term exposure.
1.9,1553,19,Possible health effects with long-term exposure.
1.9,1329,12,Possible health effects with long-term exposure.
1.9,993,19,Possible health effects with long-term exposure.
1.9,1570,11,Possible health effects with long-term exposure.
1.9,989,18,Possible health effects with long-term exposure.
1.9,406,22,Possible health effects with long-term exposure.
1.9,1716,16,Possible health effects with long-term exposure.
1.9,443,13,Possible health effects with long-term exposure.
1.9,1228,22,Possible health effects with long-term exposure.
1.9,1221,29,Possible health effects with long-term exposure.
1.9,2084,19,Possible health effects with long-term exposure.
1.9,2424,17,Possible health effects with long-term exposure.
1.9,1799,26,Possible health effects with long-term exposure.
1.9,988,12,Possible health effects with long-term exposure.
1.9,1849,11,Possible health effects with long-term exposure.
1.9,1736,13,Possible health effects with long-term exposure.
1.9,1481,16,Possible health effects with long-term exposure.
1.9,1781,10,Possible health effects with long-term exposure.
1.9,1361,15,Possible health effects with long-term exposure.
1.9,1418,17,Possible health effects with long-term exposure.
1.9,1952,26,Possible health effects with long-term exposure.
1.9,1141,33,Possible health effects with long-term exposure.
1.9,1071,10,Possible health effects with long-term exposure.
1.9,1872,16,Possible health effects with long-term exposure.
1.9,1396,17,Possible health effects with long-term exposure.
1.9,1592,21,Possible health effects with long-term exposure.
1.9,1165,23,Possible health effects with long-term exposure.
1.9,563,21,Possible health effects with long-term exposure.
1.9,1299,30,Possible health effects with long-term exposure.
1.9,767,15,Possible health effects with long-term exposure.
1.9,1253,20,Possible health effects with long-term exposure.
1.9,2383,30,Possible health effects with long-term exposure.
1.9,1531,16,Possible health effects with long-term exposure.
1.9,530,15,Possible health effects with long-term exposure.
2,1321,27,Possible health effects with long-term exposure.
1.9,2123,26,Possible health effects with long-term exposure.
1.9,1746,18,Possible health effects with long-term exposure.
1.9,2145,15,Possible health effects with long-term exposure.
1.9,838,34,Possible health effects with long-term exposure.
1.9,2235,34,Possible health effects with long-term exposure.
1.9,2294,19,Possible health effects with long-term exposure.
1.9,1196,31,Possible health effects with long-term exposure.
2,1222,30,Possible health effects with long-term exposure.
2,2305,19,Possible health effects with long-term exposure.
2,1841,20,Possible health effects with long-term exposure.
1.9,1165,12,Possible health effects with long-term exposure.
1.9,2495,31,Possible health effects with long-term exposure.
2,2481,17,Possible health effects with long-term exposure.
2,1597,23,Possible health effects with long-term exposure.
2,2399,27,Possible health effects with long-term exposure.
2,2159,17,Possible health effects with long-term exposure.
2,2112,14,Possible health effects with long-term exposure.
2,2181,21,Possible health effects with long-term exposure.
2,427,34,Possible health effects with long-term exposure.
2.1,1306,13,Possible health effects with long-term exposure.
2.1,2117,26,Possible health effects with long-term exposure.
2.2,754,19,Possible health effects with long-term exposure.
2,1368,10,Possible health effects with long-term exposure.
2.1,2002,16,Possible health effects with long-term exposure.
2.2,1010,31,Possible health effects with long-term exposure.
2.3,2373,18,Possible health effects with long-term exposure.
2.3,715,24,Possible health effects with long-term exposure.
2.5,1645,32,Possible health effects with long-term exposure.
2.4,1403,14,Possible health effects with long-term exposure.
2.8,743,19,Possible health effects with long-term exposure.
2.9,1717,33,Possible health effects with long-term exposure.
3.1,1735,27,Possible health effects with long-term exposure.
2.5,622,27,Possible health effects with long-term exposure.
2.3,1537,32,Possible health effects with long-term exposure.
2.4,2464,33,Possible health effects with long-term exposure.
2.7,927,12,Possible health effects with long-term exposure.
2.3,1211,25,Possible health effects with long-term exposure.
2.3,482,29,Possible health effects with long-term exposure.
2.1,1013,17,Possible health effects with long-term exposure.
2,450,14,Possible health effects with long-term exposure.
2,401,14,Possible health effects with long-term exposure.
1.9,1091,17,Possible health effects with long-term exposure.
1.9,979,23,Possible health effects with long-term exposure.
1.9,2351,17,Possible health effects with long-term exposure.
1.9,2208,26,Possible health effects with long-term exposure.
1.9,1750,19,Possible health effects with long-term exposure.
1.9,1909,21,Possible health effects with long-term exposure.
1.9,1543,25,Possible health effects with long-term exposure.
2,2371,34,Possible health effects with long-term exposure.
2,453,24,Possible health effects with long-term exposure.
2.1,587,17,Possible health effects with long-term exposure.
2.1,442,16,Possible health effects with long-term exposure.
2,1577,10,Possible health effects with long-term exposure.
2,2033,30,Possible health effects with long-term exposure.
2,2340,34,Possible health effects with long-term exposure.
2,637,19,Possible health effects with long-term exposure.
2.1,1937,32,Possible health effects with long-term exposure.
2.1,630,16,Possible health effects with long-term exposure.
2.1,1978,33,Possible health effects with long-term exposure.
2.2,2047,21,Possible health effects with long-term exposure.
2.1,2475,18,Possible health effects with long-term exposure.
2,2420,17,Possible health effects with long-term exposure.
1.9,1549,16,Possible health effects with long-term exposure.
1.9,2126,13,Possible health effects with long-term exposure.
1.9,2320,25,Possible health effects with long-term exposure.
2,1923,20,Possible health effects with long-term exposure.
2,2027,16,Possible health effects with long-term exposure.
2,782,26,Possible health effects with long-term exposure.
2,1542,19,Possible health effects with long-term exposure.
2,1270,29,Possible health effects with long-term exposure.
2,1819,14,Possible health effects with long-term exposure.
2,1029,13,Possible health effects with long-term exposure.
2,1903,13,Possible health effects with long-term exposure.
2,1733,25,Possible health effects with long-term exposure.
2.1,496,20,Possible health effects with long-term exposure.
2,922,26,Possible health effects with long-term exposure.
2.1,2025,33,Possible health effects with long-term exposure.
2.1,2381,20,Possible health effects with long-term exposure.
2.1,968,25,Possible health effects with long-term exposure.
2,1868,10,Possible health effects with long-term exposure.
2,473,31,Possible health effects with long-term exposure.
2,462,22,Possible health effects with long-term exposure.
2,1584,28,Possible health effects with long-term exposure.
2,840,13,Possible health effects with long-term exposure.
2,2451,17,Possible health effects with long-term exposure.
2,1289,22,Possible health effects with long-term exposure.
2.1,1099,29,Possible health effects with long-term exposure.
2.2,1303,16,Possible health effects with long-term exposure.
2,2054,16,Possible health effects with long-term exposure.
2,973,19,Possible health effects with long-term exposure.
1.9,2195,21,Possible health effects with long-term exposure.
1.9,912,24,Possible health effects with long-term exposure.
1.9,1751,20,Possible health effects with long-term exposure.
1.9,2095,27,Possible health effects with long-term exposure.
1.9,1599,31,Possible health effects with long-term exposure.
2,723,20,Possible health effects with long-term exposure.
2,2487,11,Possible health effects with long-term exposure.
2,496,25,Possible health effects with long-term exposure.
2,750,19,Possible health effects with long-term exposure.
2,2423,24,Possible health effects with long-term exposure.
2,611,31,Possible health effects with long-term exposure.
2.1,1164,12,Possible health effects with long-term exposure.
2.2,2287,16,Possible health effects with long-term exposure.
2.2,1232,33,Possible health effects with long-term exposure.
2.2,942,15,Possible health effects with long-term exposure.
2.3,964,32,Possible health effects with long-term exposure.
2.2,1919,18,Possible health effects with long-term exposure.
2.3,1498,30,Possible health effects with long-term exposure.
2.3,2499,26,Possible health effects with long-term exposure.
2.3,1431,19,Possible health effects with long-term exposure.
2.3,732,26,Possible health effects with long-term exposure.
2.2,1775,24,Possible health effects with long-term exposure.
2.1,905,25,Possible health effects with long-term exposure.
2.1,441,11,Possible health effects with long-term exposure.
2,814,15,Possible health effects with long-term exposure.
2,1229,32,Possible health effects with long-term exposure.
2.1,2469,14,Possible health effects with long-term exposure.
2.1,1880,11,Possible health effects with long-term exposure.
2.1,1630,24,Possible health effects with long-term exposure.
2,1215,29,Possible health effects with long-term exposure.
2.1,2181,11,Possible health effects with long-term exposure.
2.3,1053,22,Possible health effects with long-term exposure.
2.3,997,29,Possible health effects with long-term exposure.
2.1,1079,23,Possible health effects with long-term exposure.
2.1,2407,19,Possible health effects with long-term exposure.
2.3,1156,22,Possible health effects with long-term exposure.
2.1,1226,34,Possible health effects with long-term exposure.
2.1,1430,29,Possible health effects with long-term exposure.
2.4,1536,22,Possible health effects with long-term exposure.
2.2,1860,13,Possible health effects with long-term exposure.
2.2,1845,28,Possible health effects with long-term exposure.
2.4,1122,33,Possible health effects with long-term exposure.
2.9,1114,20,Possible health effects with long-term exposure.
2.6,2237,23,Possible health effects with long-term exposure.
2.4,1051,18,Possible health effects with long-term exposure.
2.2,1381,25,Possible health effects with long-term exposure.
2,1439,27,Possible health effects with long-term exposure.
2,1126,22,Possible health effects with long-term exposure.
2,970,10,Possible health effects with long-term exposure.
2,806,32,Possible health effects with long-term exposure.
1.9,2244,22,Possible health effects with long-term exposure.
1.9,651,28,Possible health effects with long-term exposure.
2,1849,19,Possible health effects with long-term exposure.
2,1026,11,Possible health effects with long-term exposure.
2,1484,29,Possible health effects with long-term exposure.
2.1,1338,21,Possible health effects with long-term exposure.
2.1,1522,15,Possible health effects with long-term exposure.
2.1,1280,27,Possible health effects with long-term exposure.
2.1,1121,27,Possible health effects with long-term exposure.
2,847,18,Possible health effects with long-term exposure.
2.3,1355,14,Possible health effects with long-term exposure.
2.4,1169,17,Possible health effects with long-term exposure.
2.2,1410,22,Possible health effects with long-term exposure.
2.2,494,21,Possible health effects with long-term exposure.
2.2,1819,24,Possible health effects with long-term exposure.
2.6,1828,15,Possible health effects with long-term exposure.
2.6,629,26,Possible health effects with long-term exposure.
2.1,719,12,Possible health effects with long-term exposure.
2,2148,18,Possible health effects with long-term exposure.
2,963,29,Possible health effects with long-term exposure.
2,1201,29,Possible health effects with long-term exposure.
2,943,21,Possible health effects with long-term exposure.
1.9,891,13,Possible health effects with long-term exposure.
2.1,1637,24,Possible health effects with long-term exposure.
2.3,494,30,Possible health effects with long-term exposure.
2.3,1437,10,Possible health effects with long-term exposure.
2.3,1275,12,Possible health effects with long-term exposure.
2.3,1097,29,Possible health effects with long-term exposure.
2.2,848,28,Possible health effects with long-term exposure.
2.1,1542,20,Possible health effects with long-term exposure.
2.1,1972,29,Possible health effects with long-term exposure.
2,2220,19,Possible health effects with long-term exposure.
2,2161,19,Possible health effects with long-term exposure.
3,497,33,Possible health effects with long-term exposure.
2.8,1920,34,Possible health effects with long-term exposure.
2.2,2315,26,Possible health effects with long-term exposure.
2.3,1814,32,Possible health effects with long-term exposure.
2.3,2183,14,Possible health effects with long-term exposure.
2.1,2189,26,Possible health effects with long-term exposure.
2,1079,16,Possible health effects with long-term exposure.
1.9,2162,12,Possible health effects with long-term exposure.
1.9,705,19,Possible health effects with long-term exposure.
1.9,1902,17,Possible health effects with long-term exposure.
2,1887,21,Possible health effects with long-term exposure.
2,1921,28,Possible health effects with long-term exposure.
2,1160,33,Possible health effects with long-term exposure.
2,2470,13,Possible health effects with long-term exposure.
2,1566,24,Possible health effects with long-term exposure.
2,794,15,Possible health effects with long-term exposure.
2,1736,26,Possible health effects with long-term exposure.
2.1,938,33,Possible health effects with long-term exposure.
2.1,647,22,Possible health effects with long-term exposure.
2,2282,18,Possible health effects with long-term exposure.
2.1,1022,13,Possible health effects with long-term exposure.
2.2,1887,23,Possible health effects with long-term exposure.
2.3,1428,28,Possible health effects with long-term exposure.
2,2349,12,Possible health effects with long-term exposure.
1.9,1621,19,Possible health effects with long-term exposure.
2,2356,16,Possible health effects with long-term exposure.
2,2351,12,Possible health effects with long-term exposure.
2,906,26,Possible health effects with long-term exposure.
1.9,2070,24,Possible health effects with long-term exposure.
1.9,2371,13,Possible health effects with long-term exposure.
1.9,2053,21,Possible health effects with long-term exposure.
1.9,468,12,Possible health effects with long-term exposure.
1.9,1482,19,Possible health effects with long-term exposure.
1.9,2357,26,Possible health effects with long-term exposure.
1.9,1400,20,Possible health effects with long-term exposure.
1.9,1374,21,Possible health effects with long-term exposure.
2,936,10,Possible health effects with long-term exposure.
2,2133,33,Possible health effects with long-term exposure.
2,1070,10,Possible health effects with long-term exposure.
2,863,34,Possible health effects with long-term exposure.
2,1224,22,Possible health effects with long-term exposure.
2.1,915,22,Possible health effects with long-term exposure.
2,1245,15,Possible health effects with long-term exposure.
2.1,1143,12,Possible health effects with long-term exposure.
